Model,Target_Level,Display_Category,Actual_ND,Pitch_Entropy
Unconditional Baseline,0,Baseline,31,3.5263039714678297
Unconditional Baseline,0,Baseline,38,3.865576855207248
Unconditional Baseline,0,Baseline,35,3.986425874087823
Unconditional Baseline,0,Baseline,26,3.690260390968384
Unconditional Baseline,0,Baseline,28,3.155045546825804
Unconditional Baseline,0,Baseline,22,3.5503407095463873
Unconditional Baseline,0,Baseline,45,3.6307729638440214
Unconditional Baseline,0,Baseline,33,3.691994407749645
Unconditional Baseline,0,Baseline,38,3.6261998054056823
Unconditional Baseline,0,Baseline,21,3.4273334938982645
Unconditional Baseline,0,Baseline,31,3.6679284722924486
Unconditional Baseline,0,Baseline,32,3.605337797403416
Unconditional Baseline,0,Baseline,32,3.765319531114783
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,71,3.885338885134944
Unconditional Baseline,0,Baseline,41,3.955504603267742
Unconditional Baseline,0,Baseline,39,4.045286116898139
Unconditional Baseline,0,Baseline,26,3.3496929689578705
Unconditional Baseline,0,Baseline,32,3.765319531114783
Unconditional Baseline,0,Baseline,28,3.535582047970575
Unconditional Baseline,0,Baseline,22,3.5503407095463873
Unconditional Baseline,0,Baseline,32,3.7775182662886326
Unconditional Baseline,0,Baseline,41,3.964395529526285
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,28,3.315410725242699
Unconditional Baseline,0,Baseline,35,3.6395982887330343
Unconditional Baseline,0,Baseline,33,3.691994407749645
Unconditional Baseline,0,Baseline,35,3.5141594451455136
Unconditional Baseline,0,Baseline,45,3.6307729638440214
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,32,3.6792292966721747
Unconditional Baseline,0,Baseline,41,3.964395529526285
Unconditional Baseline,0,Baseline,42,3.7403155659869944
REMI+ (Ours),10,L10,71,3.7722388114152805
REMI+ (Ours),10,L10,67,3.965802073513874
REMI+ (Ours),10,L10,77,3.462524318101887
REMI+ (Ours),10,L10,49,4.140447987839137
REMI+ (Ours),10,L10,52,4.087472353123261
REMI+ (Ours),10,L10,71,3.870782860732508
REMI+ (Ours),10,L10,61,4.081771561101075
REMI+ (Ours),10,L10,62,3.8727855641820166
REMI+ (Ours),10,L10,53,3.6901452714106617
REMI+ (Ours),10,L10,48,4.038320189106
REMI+ (Ours),10,L10,51,4.123528901585398
REMI+ (Ours),10,L10,49,4.084225793917433
REMI+ (Ours),10,L10,47,3.880737054591316
REMI+ (Ours),10,L10,47,3.496523831396774
REMI+ (Ours),10,L10,52,3.8615376230875986
REMI+ (Ours),10,L10,47,4.050949820548762
REMI+ (Ours),10,L10,56,4.485228136034252
REMI+ (Ours),10,L10,62,3.8727855641820166
REMI+ (Ours),10,L10,47,4.245870234564298
REMI+ (Ours),10,L10,46,3.7814105324174996
REMI+ (Ours),10,L10,48,3.864059189593494
REMI+ (Ours),10,L10,50,4.295337750470313
